year,category,word,similarity_with_he,similarity_with_she,gender_bias
1901,positive_agency,direct,0.59919846,0.52728856,0.071909904
1901,positive_agency,rule,0.5270243,0.46181068,0.06521365
1901,positive_agency,guide,0.582638,0.5089722,0.0736658
1901,positive_agency,shape,0.4437391,0.42579144,0.017947644
1901,positive_agency,inspire,0.6764359,0.6298346,0.046601295
1901,positive_agency,enforce,0.76891696,0.7257281,0.04318887
1901,positive_agency,independent,0.57292295,0.5141691,0.058753848
1901,positive_agency,powerful,0.5498881,0.5044074,0.04548067
1901,positive_agency,dominant,0.5470157,0.4792001,0.06781563
1901,positive_agency,influential,0.6617114,0.5866378,0.0750736
1901,positive_agency,authoritative,0.73291856,0.69709116,0.0358274
1901,positive_agency,sovereign,0.65366876,0.63657033,0.017098427
1901,positive_agency,commanding,0.5295454,0.42840916,0.10113627
1901,positive_agency,masterful,0.70266044,0.7376285,-0.034968078
1901,negative_agency,victim,0.6745792,0.57491535,0.09966385
1901,negative_agency,follower,0.7388662,0.6913932,0.047473013
1901,negative_agency,subordinate,0.7233652,0.6364412,0.08692402
1901,negative_agency,dependent,0.6961901,0.68861794,0.007572174
1901,negative_agency,object,0.5410516,0.5679078,-0.026856184
1901,negative_agency,servant,0.5386281,0.53186256,0.0067655444
1901,negative_agency,puppet,0.52135503,0.52227736,-0.0009223223
1901,negative_agency,oppressed,0.590456,0.6347663,-0.04431027
1901,negative_agency,captive,0.55437565,0.50055736,0.053818285
1901,negative_agency,helpless,0.5668527,0.5232519,0.043600798
1901,negative_agency,suffer,0.54529464,0.6026161,-0.05732143
1901,negative_agency,submit,0.7229297,0.6367509,0.08617884
1901,negative_agency,endure,0.5501771,0.6052279,-0.05505079
1901,negative_agency,yield,0.5421178,0.6056207,-0.06350291
1901,negative_agency,depend,0.6580977,0.63963073,0.01846695
1901,negative_agency,obey,0.713884,0.61538273,0.098501265
1901,negative_agency,serve,0.6058927,0.57150567,0.034387052
1901,negative_agency,succumb,0.6145321,0.5866273,0.027904809
1901,negative_agency,resist,0.602332,0.61469245,-0.012360454
1901,negative_agency,conform,0.7207593,0.68353385,0.037225425
1901,negative_agency,bow,0.47353467,0.41453812,0.05899656
1901,negative_agency,powerless,0.7595672,0.684094,0.07547319
1901,negative_agency,submissive,0.6985055,0.73130685,-0.03280133
1901,negative_agency,controlled,0.6437765,0.6210166,0.022759855
1901,negative_agency,defenseless,0.033070255,-0.00862848,0.041698735
1901,negative_agency,resigned,0.67515665,0.6820612,-0.0069045424
1901,negative_agency,passive,0.662019,0.6651214,-0.0031023622
1901,high_competence,intelligent,0.542572,0.5113395,0.031232536
1901,high_competence,successful,0.58422786,0.53733927,0.04688859
1901,high_competence,confident,0.6690777,0.60766387,0.061413825
1901,high_competence,skilled,0.5790425,0.53502107,0.044021428
1901,high_competence,expert,0.62931514,0.51563007,0.11368507
1901,high_competence,proficient,0.66806483,0.6832941,-0.015229285
1901,high_competence,competent,0.7339854,0.6996926,0.034292817
1901,high_competence,capable,0.5172178,0.55133516,-0.03411734
1901,high_competence,brilliant,0.39974117,0.4393113,-0.039570123
1901,high_competence,accomplished,0.63478583,0.6024945,0.032291353
1901,high_competence,talented,0.718084,0.6727951,0.04528886
1901,high_competence,resourceful,0.657847,0.6975713,-0.03972429
1901,high_competence,experienced,0.4898043,0.49351764,-0.0037133396
1901,high_competence,sharp,0.45635682,0.38763732,0.068719506
1901,high_competence,ingenious,0.5832724,0.5586466,0.024625778
1901,high_competence,brilliant,0.39974117,0.4393113,-0.039570123
1901,high_competence,outstanding,0.74554706,0.7141777,0.03136933
1901,high_competence,accomplished,0.63478583,0.6024945,0.032291353
1901,high_competence,efficient,0.6281207,0.62739843,0.0007222891
1901,high_competence,specialized,0.69658697,0.6882937,0.008293271
1901,high_competence,ingenious,0.5832724,0.5586466,0.024625778
1901,high_competence,elite,0.70640165,0.68619835,0.020203292
1901,high_competence,excel,0.7329963,0.7427955,-0.009799242
1901,high_competence,master,0.55893195,0.45556268,0.103369266
1901,high_competence,achieve,0.59868985,0.61126703,-0.012577176
1901,high_competence,succeed,0.64695466,0.5743214,0.07263327
1901,high_competence,surpass,0.716748,0.70771915,0.009028852
1901,high_competence,excelled,0.7535188,0.67268896,0.08082986
1901,high_competence,advanced,0.53934175,0.48812568,0.051216066
1901,high_competence,gifted,0.6052467,0.63092375,-0.025677025
1901,high_competence,exceptional,0.6445932,0.6349923,0.009600878
1901,high_competence,dynamic,0.707916,0.7027667,0.005149305
1901,low_competence,incompetent,0.72585255,0.68122864,0.04462391
1901,low_competence,unskilled,0.7096734,0.7058291,0.0038443208
1901,low_competence,ignorant,0.5589284,0.54846203,0.010466337
1901,low_competence,unqualified,0.6816544,0.66854584,0.0131085515
1901,low_competence,incapable,0.59748787,0.6368643,-0.039376438
1901,low_competence,unfit,0.71969557,0.6457398,0.073955774
1901,low_competence,untrained,0.7051682,0.72780293,-0.022634745
1901,low_competence,inefficient,0.6568395,0.6739139,-0.017074406
1901,low_competence,unaware,0.6993687,0.7621808,-0.06281209
1901,low_competence,amateur,0.69192356,0.61556673,0.07635683
1901,low_competence,clumsy,0.5447652,0.5262296,0.018535554
1901,low_competence,mediocre,0.7684864,0.7302343,0.038252056
1901,low_competence,unprofessional,0.7480857,0.7140956,0.033990085
1901,low_competence,failure,0.5550573,0.51591367,0.039143622
1901,low_competence,inexperienced,0.7262238,0.816306,-0.09008217
